IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms)
183.102.55.197,18093,443,True,FUK,Asia Pacific,JP,Fukuoka,102
183.96.16.104,20800,80,False,FUK,Asia Pacific,JP,Fukuoka,102
121.159.68.210,12312,443,True,FUK,Asia Pacific,JP,Fukuoka,102
220.126.11.89,12477,443,True,FUK,Asia Pacific,JP,Fukuoka,102
121.128.161.235,11601,443,True,FUK,Asia Pacific,JP,Fukuoka,102
119.194.79.217,31337,443,True,FUK,Asia Pacific,JP,Fukuoka,103
220.126.11.89,14873,443,True,FUK,Asia Pacific,JP,Fukuoka,103
220.77.188.107,21296,80,False,FUK,Asia Pacific,JP,Fukuoka,103
220.77.18.195,10180,443,True,FUK,Asia Pacific,JP,Fukuoka,104
121.155.61.102,11211,443,True,FUK,Asia Pacific,JP,Fukuoka,104
121.163.116.208,12369,443,True,FUK,Asia Pacific,JP,Fukuoka,105
14.47.11.69,12233,443,True,FUK,Asia Pacific,JP,Fukuoka,105
183.103.28.168,12117,8443,True,FUK,Asia Pacific,JP,Fukuoka,105
121.128.161.235,10209,443,True,FUK,Asia Pacific,JP,Fukuoka,105
183.103.28.168,14900,443,True,FUK,Asia Pacific,JP,Fukuoka,105
183.103.28.168,30001,443,True,FUK,Asia Pacific,JP,Fukuoka,105
220.126.105.22,11180,443,True,FUK,Asia Pacific,JP,Fukuoka,105
14.46.130.32,12540,443,True,FUK,Asia Pacific,JP,Fukuoka,105
118.44.96.97,25000,80,False,FUK,Asia Pacific,JP,Fukuoka,105
183.106.217.167,21278,443,True,FUK,Asia Pacific,JP,Fukuoka,105
220.126.105.22,12555,443,True,FUK,Asia Pacific,JP,Fukuoka,106
210.113.162.20,12156,443,True,FUK,Asia Pacific,JP,Fukuoka,106
61.82.242.222,12335,443,True,FUK,Asia Pacific,JP,Fukuoka,106
183.96.50.164,11371,443,True,FUK,Asia Pacific,JP,Fukuoka,106
118.44.96.97,30029,443,True,FUK,Asia Pacific,JP,Fukuoka,106
121.141.125.22,21242,443,True,FUK,Asia Pacific,JP,Fukuoka,106
121.175.158.112,34122,443,True,FUK,Asia Pacific,JP,Fukuoka,106
175.215.154.208,12148,443,True,FUK,Asia Pacific,JP,Fukuoka,106
119.202.158.65,16016,443,True,FUK,Asia Pacific,JP,Fukuoka,106
169.211.205.20,12001,443,True,FUK,Asia Pacific,JP,Fukuoka,106
121.175.63.10,30120,443,True,FUK,Asia Pacific,JP,Fukuoka,106
118.43.214.55,22107,443,True,FUK,Asia Pacific,JP,Fukuoka,107
220.116.168.186,12503,443,True,FUK,Asia Pacific,JP,Fukuoka,107
175.208.10.145,20325,443,True,FUK,Asia Pacific,JP,Fukuoka,107
121.161.233.49,12239,443,True,FUK,Asia Pacific,JP,Fukuoka,107
222.102.109.171,12156,443,True,FUK,Asia Pacific,JP,Fukuoka,107
61.79.188.195,16311,80,False,FUK,Asia Pacific,JP,Fukuoka,108
175.193.62.86,16066,443,True,FUK,Asia Pacific,JP,Fukuoka,108
183.98.78.36,20060,443,True,FUK,Asia Pacific,JP,Fukuoka,108
220.77.18.195,12153,443,True,FUK,Asia Pacific,JP,Fukuoka,108
220.80.75.163,12266,443,True,FUK,Asia Pacific,JP,Fukuoka,108
220.118.248.123,16667,443,True,FUK,Asia Pacific,JP,Fukuoka,108
112.173.40.199,16083,443,True,FUK,Asia Pacific,JP,Fukuoka,109
121.152.127.130,12283,443,True,FUK,Asia Pacific,JP,Fukuoka,109
121.143.44.148,16023,443,True,FUK,Asia Pacific,JP,Fukuoka,109
183.106.83.237,12395,443,True,FUK,Asia Pacific,JP,Fukuoka,109
121.128.161.235,10000,443,True,FUK,Asia Pacific,JP,Fukuoka,109
220.126.105.22,12438,443,True,FUK,Asia Pacific,JP,Fukuoka,110
220.118.248.123,15504,80,False,FUK,Asia Pacific,JP,Fukuoka,110
175.215.154.208,12553,443,True,FUK,Asia Pacific,JP,Fukuoka,110
121.169.114.124,12170,443,True,FUK,Asia Pacific,JP,Fukuoka,111
220.126.11.89,32522,443,True,FUK,Asia Pacific,JP,Fukuoka,111
119.195.196.173,12214,443,True,FUK,Asia Pacific,JP,Fukuoka,111
121.132.58.142,17771,443,True,FUK,Asia Pacific,JP,Fukuoka,112
175.201.21.227,22705,443,True,FUK,Asia Pacific,JP,Fukuoka,112
211.248.92.78,10033,443,True,FUK,Asia Pacific,JP,Fukuoka,112
221.157.167.175,10036,443,True,FUK,Asia Pacific,JP,Fukuoka,112
220.125.10.22,18443,443,True,FUK,Asia Pacific,JP,Fukuoka,113
125.133.87.3,12503,443,True,FUK,Asia Pacific,JP,Fukuoka,113
121.188.14.81,21236,443,True,FUK,Asia Pacific,JP,Fukuoka,113
222.113.18.218,12229,443,True,FUK,Asia Pacific,JP,Fukuoka,113
218.144.184.196,11211,443,True,FUK,Asia Pacific,JP,Fukuoka,113
220.85.254.226,28015,443,True,FUK,Asia Pacific,JP,Fukuoka,113
118.47.223.244,11434,443,True,FUK,Asia Pacific,JP,Fukuoka,114
175.201.21.227,13082,443,True,FUK,Asia Pacific,JP,Fukuoka,114
121.129.91.180,12456,443,True,FUK,Asia Pacific,JP,Fukuoka,114
220.85.254.226,12390,443,True,FUK,Asia Pacific,JP,Fukuoka,114
14.33.50.29,12123,443,True,FUK,Asia Pacific,JP,Fukuoka,114
112.187.59.195,21316,443,True,FUK,Asia Pacific,JP,Fukuoka,114
118.35.196.178,10283,443,True,FUK,Asia Pacific,JP,Fukuoka,114
112.184.56.73,12220,443,True,FUK,Asia Pacific,JP,Fukuoka,114
220.72.161.178,12519,443,True,FUK,Asia Pacific,JP,Fukuoka,115
222.104.118.235,18086,443,True,FUK,Asia Pacific,JP,Fukuoka,115
221.144.200.91,12285,80,False,FUK,Asia Pacific,JP,Fukuoka,115
61.77.102.56,16058,80,False,FUK,Asia Pacific,JP,Fukuoka,115
14.44.32.251,22103,443,True,FUK,Asia Pacific,JP,Fukuoka,115
61.84.78.175,12353,443,True,FUK,Asia Pacific,JP,Fukuoka,115
59.21.167.152,10093,443,True,FUK,Asia Pacific,JP,Fukuoka,115
119.201.209.58,12582,443,True,FUK,Asia Pacific,JP,Fukuoka,115
202.30.19.4,21273,443,True,FUK,Asia Pacific,JP,Fukuoka,116
210.99.32.111,10019,443,True,FUK,Asia Pacific,JP,Fukuoka,116
119.193.12.243,12270,443,True,FUK,Asia Pacific,JP,Fukuoka,116
220.88.9.133,11180,443,True,FUK,Asia Pacific,JP,Fukuoka,116
118.41.71.28,11601,443,True,FUK,Asia Pacific,JP,Fukuoka,117
121.128.161.235,12348,443,True,FUK,Asia Pacific,JP,Fukuoka,117
220.120.172.116,12442,443,True,FUK,Asia Pacific,JP,Fukuoka,117
218.157.11.21,10034,8443,True,FUK,Asia Pacific,JP,Fukuoka,117
210.222.88.220,12311,80,False,FUK,Asia Pacific,JP,Fukuoka,117
121.190.1.88,14402,443,True,FUK,Asia Pacific,JP,Fukuoka,117
218.145.234.206,11920,443,True,FUK,Asia Pacific,JP,Fukuoka,117
119.203.202.120,12226,443,True,FUK,Asia Pacific,JP,Fukuoka,118
121.147.142.233,25952,443,True,FUK,Asia Pacific,JP,Fukuoka,118
121.181.132.45,12509,8443,True,FUK,Asia Pacific,JP,Fukuoka,118
121.165.39.209,21287,443,True,FUK,Asia Pacific,JP,Fukuoka,119
121.155.12.123,10390,443,True,FUK,Asia Pacific,JP,Fukuoka,119
121.132.58.142,12393,443,True,FUK,Asia Pacific,JP,Fukuoka,120
119.193.12.243,12265,443,True,FUK,Asia Pacific,JP,Fukuoka,120
220.120.172.116,12414,443,True,FUK,Asia Pacific,JP,Fukuoka,120
221.145.8.150,10066,443,True,FUK,Asia Pacific,JP,Fukuoka,120
119.193.12.243,18368,443,True,FUK,Asia Pacific,JP,Fukuoka,121
121.164.25.233,12399,443,True,FUK,Asia Pacific,JP,Fukuoka,121
119.195.196.173,12534,443,True,FUK,Asia Pacific,JP,Fukuoka,121
119.195.231.68,24082,443,True,FUK,Asia Pacific,JP,Fukuoka,121
221.158.4.230,12019,443,True,FUK,Asia Pacific,JP,Fukuoka,121
119.193.12.243,12540,443,True,FUK,Asia Pacific,JP,Fukuoka,121
211.218.242.52,12494,443,True,FUK,Asia Pacific,JP,Fukuoka,121
121.163.243.185,12180,443,True,FUK,Asia Pacific,JP,Fukuoka,122
